id_llamada,fecha,distrito,duracion_minutes,recursos_desplegados,distancia_km,tipo
1,2025-05-02 02:37:11,Norte,162,5,18,Accidente
2,2025-02-27 10:32:06,Sur,155,9,18,Neutral
3,2024-12-07 01:47:54,Oeste,148,8,1,Fuego
4,2025-05-31 08:24:43,Sur,18,8,14,Fuego
5,2024-11-10 05:40:36,Sur,75,5,8,Fuego
6,2024-10-30 19:14:20,Este,128,9,2,Fuego
7,2024-12-08 16:24:58,Oeste,129,3,19,Fuego
8,2025-03-20 08:16:03,Oeste,41,3,15,Accidente
9,2025-04-09 04:59:07,Oeste,33,1,2,Accidente
10,2025-05-29 17:20:07,Sur,147,9,4,Accidente
11,2024-09-13 20:03:07,Norte,179,6,1,Neutral
12,2024-10-19 09:47:17,Oeste,178,2,19,Fuego
13,2024-10-21 06:25:28,Sur,23,8,10,Neutral
14,2025-04-22 12:02:04,Este,110,9,1,Fuego
15,2024-08-11 04:09:19,Norte,25,9,15,Fuego
16,2025-02-04 11:20:14,Este,68,2,4,Neutral
17,2024-06-23 17:16:03,Norte,169,2,7,Accidente
18,2024-08-30 03:00:53,Sur,31,7,7,Neutral
19,2025-04-25 17:28:44,Centro,59,4,18,Accidente
20,2025-01-08 00:03:00,Norte,33,1,13,Fuego
21,2024-11-03 19:44:29,Este,152,8,10,Accidente
22,2025-05-09 12:16:12,Sur,29,2,8,Fuego
23,2025-01-24 05:59:19,Norte,74,3,10,Fuego
24,2024-11-04 11:51:47,Centro,67,5,14,Accidente
25,2024-12-15 21:24:52,Centro,168,3,14,Fuego
26,2024-09-05 10:03:53,Oeste,134,7,11,Accidente
27,2025-03-14 07:46:29,Oeste,154,7,6,Neutral
28,2025-04-12 01:15:30,Este,20,2,1,Fuego
29,2024-11-05 16:38:40,Norte,150,7,19,Fuego
30,2024-07-01 09:53:56,Norte,104,6,7,Neutral
31,2024-08-20 19:30:44,Oeste,34,9,18,Fuego
32,2024-10-31 08:08:38,Norte,49,9,3,Neutral
33,2024-08-09 07:59:46,Norte,23,2,11,Neutral
34,2025-05-04 05:03:16,Centro,38,7,5,Fuego
35,2024-12-01 00:15:05,Oeste,145,5,19,Neutral
36,2024-12-11 20:24:39,Sur,175,6,2,Neutral
37,2025-02-25 17:12:09,Oeste,66,1,4,Neutral
38,2025-04-17 05:28:07,Sur,122,7,10,Fuego
39,2024-11-20 08:26:52,Centro,104,6,2,Neutral
40,2024-11-30 21:03:52,Este,26,4,8,Accidente
41,2024-10-27 20:10:34,Norte,115,1,1,Accidente
42,2024-08-08 19:33:18,Centro,168,9,6,Neutral
43,2025-03-16 05:34:52,Norte,77,4,11,Accidente
44,2025-06-04 02:42:05,Este,151,2,10,Fuego
45,2025-03-22 12:00:53,Este,42,8,13,Neutral
46,2025-03-29 07:14:46,Centro,74,2,1,Fuego
47,2025-05-12 17:26:59,Este,120,5,2,Accidente
48,2024-06-26 17:10:19,Sur,83,6,3,Accidente
49,2025-03-11 13:45:36,Este,152,8,9,Accidente
50,2024-11-22 02:21:34,Norte,13,1,5,Accidente
51,2025-02-19 12:34:47,Norte,36,1,10,Fuego
52,2024-07-04 19:59:52,Norte,136,4,10,Neutral
53,2025-05-22 23:35:59,Norte,54,5,12,Fuego
54,2025-04-27 14:36:18,Sur,86,9,18,Neutral
55,2024-10-10 11:05:55,Oeste,9,7,1,Accidente
56,2025-03-22 19:51:07,Centro,152,7,3,Accidente
57,2025-06-08 23:30:01,Norte,91,8,5,Accidente
58,2025-02-22 08:58:33,Este,130,5,17,Accidente
59,2024-07-21 19:57:38,Norte,79,5,8,Fuego
60,2025-05-10 23:09:54,Este,169,1,17,Neutral
61,2024-12-08 20:16:38,Este,26,9,9,Neutral
62,2024-11-02 00:37:26,Norte,72,6,6,Accidente
63,2025-01-10 13:36:25,Sur,48,9,17,Fuego
64,2025-04-15 17:04:32,Este,38,3,8,Accidente
65,2025-05-12 08:35:19,Este,81,5,7,Neutral
66,2025-05-16 05:55:43,Norte,46,2,7,Neutral
67,2025-01-11 03:09:51,Este,141,5,15,Fuego
68,2025-01-21 03:32:43,Este,110,8,7,Neutral
69,2024-11-22 05:02:43,Norte,99,2,8,Fuego
70,2024-11-06 20:35:13,Norte,139,8,9,Accidente
71,2024-12-06 18:02:47,Centro,72,4,15,Accidente
72,2025-02-11 17:58:56,Sur,151,1,2,Fuego
73,2025-04-19 16:42:20,Sur,163,5,7,Accidente
74,2024-11-15 04:11:27,Este,132,1,15,Fuego
75,2025-02-22 01:00:15,Sur,167,7,18,Accidente
76,2025-03-26 06:49:17,Este,89,8,18,Accidente
77,2025-01-15 23:18:51,Centro,163,3,10,Neutral
78,2025-06-17 00:57:48,Norte,87,3,18,Neutral
79,2024-12-07 11:49:17,Norte,99,7,1,Fuego
80,2024-08-21 13:55:37,Norte,36,4,7,Accidente
81,2024-08-17 22:44:40,Sur,70,3,3,Accidente
82,2024-06-23 22:37:47,Centro,120,8,14,Accidente
83,2025-03-03 21:13:13,Sur,142,3,12,Neutral
84,2024-11-30 04:00:47,Sur,134,7,14,Fuego
85,2024-09-25 15:50:12,Centro,64,2,4,Fuego
86,2024-08-28 10:27:52,Centro,21,1,13,Fuego
87,2025-02-08 05:21:12,Centro,100,6,16,Accidente
88,2025-01-18 08:17:54,Centro,148,8,16,Fuego
89,2024-11-30 11:40:04,Norte,20,1,5,Neutral
90,2025-04-27 09:37:50,Oeste,50,9,6,Neutral
91,2024-11-19 19:44:36,Oeste,171,3,6,Fuego
92,2025-03-30 14:02:23,Centro,163,3,18,Accidente
93,2024-09-17 14:07:12,Oeste,111,4,6,Neutral
94,2025-01-25 15:10:48,Oeste,92,1,7,Neutral
95,2024-11-19 08:31:35,Centro,133,9,16,Accidente
