id_llamada;fecha;distrito;duracion_minutes;recursos_desplegados;distancia_km;tipo;Accidente;Neutral;Fuego
1;2/05/2025 2:37;Norte;162;5;18;Accidente;1;0;0
2;27/02/2025 10:32;Sur;155;9;18;Neutral;0;1;0
3;7/12/2024 1:47;Oeste;148;8;1;Fuego;0;0;1
4;31/05/2025 8:24;Sur;18;8;14;Fuego;0;0;1
5;10/11/2024 5:40;Sur;75;5;8;Fuego;0;0;1
6;30/10/2024 19:14;Este;128;9;2;Fuego;0;0;1
7;8/12/2024 16:24;Oeste;129;3;19;Fuego;0;0;1
8;20/03/2025 8:16;Oeste;41;3;15;Accidente;1;0;0
9;9/04/2025 4:59;Oeste;33;1;2;Accidente;1;0;0
10;29/05/2025 17:20;Sur;147;9;4;Accidente;1;0;0
11;13/09/2024 20:03;Norte;179;6;1;Neutral;0;1;0
12;19/10/2024 9:47;Oeste;178;2;19;Fuego;0;0;1
13;21/10/2024 6:25;Sur;23;8;10;Neutral;0;1;0
14;22/04/2025 12:02;Este;110;9;1;Fuego;0;0;1
15;11/08/2024 4:09;Norte;25;9;15;Fuego;0;0;1
16;4/02/2025 11:20;Este;68;2;4;Neutral;0;1;0
17;23/06/2024 17:16;Norte;169;2;7;Accidente;1;0;0
18;30/08/2024 3:00;Sur;31;7;7;Neutral;0;1;0
19;25/04/2025 17:28;Centro;59;4;18;Accidente;1;0;0
20;8/01/2025 0:03;Norte;33;1;13;Fuego;0;0;1
21;3/11/2024 19:44;Este;152;8;10;Accidente;1;0;0
22;9/05/2025 12:16;Sur;29;2;8;Fuego;0;0;1
23;24/01/2025 5:59;Norte;74;3;10;Fuego;0;0;1
24;4/11/2024 11:51;Centro;67;5;14;Accidente;1;0;0
25;15/12/2024 21:24;Centro;168;3;14;Fuego;0;0;1
26;5/09/2024 10:03;Oeste;134;7;11;Accidente;1;0;0
27;14/03/2025 7:46;Oeste;154;7;6;Neutral;0;1;0
28;12/04/2025 1:15;Este;20;2;1;Fuego;0;0;1
29;5/11/2024 16:38;Norte;150;7;19;Fuego;0;0;1
30;1/07/2024 9:53;Norte;104;6;7;Neutral;0;1;0
31;20/08/2024 19:30;Oeste;34;9;18;Fuego;0;0;1
32;31/10/2024 8:08;Norte;49;9;3;Neutral;0;1;0
33;9/08/2024 7:59;Norte;23;2;11;Neutral;0;1;0
34;4/05/2025 5:03;Centro;38;7;5;Fuego;0;0;1
35;1/12/2024 0:15;Oeste;145;5;19;Neutral;0;1;0
36;11/12/2024 20:24;Sur;175;6;2;Neutral;0;1;0
37;25/02/2025 17:12;Oeste;66;1;4;Neutral;0;1;0
38;17/04/2025 5:28;Sur;122;7;10;Fuego;0;0;1
39;20/11/2024 8:26;Centro;104;6;2;Neutral;0;1;0
40;30/11/2024 21:03;Este;26;4;8;Accidente;1;0;0
41;27/10/2024 20:10;Norte;115;1;1;Accidente;1;0;0
42;8/08/2024 19:33;Centro;168;9;6;Neutral;0;1;0
43;16/03/2025 5:34;Norte;77;4;11;Accidente;1;0;0
44;4/06/2025 2:42;Este;151;2;10;Fuego;0;0;1
45;22/03/2025 12:00;Este;42;8;13;Neutral;0;1;0
46;29/03/2025 7:14;Centro;74;2;1;Fuego;0;0;1
47;12/05/2025 17:26;Este;120;5;2;Accidente;1;0;0
48;26/06/2024 17:10;Sur;83;6;3;Accidente;1;0;0
49;11/03/2025 13:45;Este;152;8;9;Accidente;1;0;0
50;22/11/2024 2:21;Norte;13;1;5;Accidente;1;0;0
51;19/02/2025 12:34;Norte;36;1;10;Fuego;0;0;1
52;4/07/2024 19:59;Norte;136;4;10;Neutral;0;1;0
53;22/05/2025 23:35;Norte;54;5;12;Fuego;0;0;1
54;27/04/2025 14:36;Sur;86;9;18;Neutral;0;1;0
55;10/10/2024 11:05;Oeste;9;7;1;Accidente;1;0;0
56;22/03/2025 19:51;Centro;152;7;3;Accidente;1;0;0
57;8/06/2025 23:30;Norte;91;8;5;Accidente;1;0;0
58;22/02/2025 8:58;Este;130;5;17;Accidente;1;0;0
59;21/07/2024 19:57;Norte;79;5;8;Fuego;0;0;1
60;10/05/2025 23:09;Este;169;1;17;Neutral;0;1;0
61;8/12/2024 20:16;Este;26;9;9;Neutral;0;1;0
62;2/11/2024 0:37;Norte;72;6;6;Accidente;1;0;0
63;10/01/2025 13:36;Sur;48;9;17;Fuego;0;0;1
64;15/04/2025 17:04;Este;38;3;8;Accidente;1;0;0
65;12/05/2025 8:35;Este;81;5;7;Neutral;0;1;0
66;16/05/2025 5:55;Norte;46;2;7;Neutral;0;1;0
67;11/01/2025 3:09;Este;141;5;15;Fuego;0;0;1
68;21/01/2025 3:32;Este;110;8;7;Neutral;0;1;0
69;22/11/2024 5:02;Norte;99;2;8;Fuego;0;0;1
70;6/11/2024 20:35;Norte;139;8;9;Accidente;1;0;0
71;6/12/2024 18:02;Centro;72;4;15;Accidente;1;0;0
72;11/02/2025 17:58;Sur;151;1;2;Fuego;0;0;1
73;19/04/2025 16:42;Sur;163;5;7;Accidente;1;0;0
74;15/11/2024 4:11;Este;132;1;15;Fuego;0;0;1
75;22/02/2025 1:00;Sur;167;7;18;Accidente;1;0;0
76;26/03/2025 6:49;Este;89;8;18;Accidente;1;0;0
77;15/01/2025 23:18;Centro;163;3;10;Neutral;0;1;0
78;17/06/2025 0:57;Norte;87;3;18;Neutral;0;1;0
79;7/12/2024 11:49;Norte;99;7;1;Fuego;0;0;1
80;21/08/2024 13:55;Norte;36;4;7;Accidente;1;0;0
81;17/08/2024 22:44;Sur;70;3;3;Accidente;1;0;0
82;23/06/2024 22:37;Centro;120;8;14;Accidente;1;0;0
83;3/03/2025 21:13;Sur;142;3;12;Neutral;0;1;0
84;30/11/2024 4:00;Sur;134;7;14;Fuego;0;0;1
85;25/09/2024 15:50;Centro;64;2;4;Fuego;0;0;1
86;28/08/2024 10:27;Centro;21;1;13;Fuego;0;0;1
87;8/02/2025 5:21;Centro;100;6;16;Accidente;1;0;0
88;18/01/2025 8:17;Centro;148;8;16;Fuego;0;0;1
89;30/11/2024 11:40;Norte;20;1;5;Neutral;0;1;0
90;27/04/2025 9:37;Oeste;50;9;6;Neutral;0;1;0
91;19/11/2024 19:44;Oeste;171;3;6;Fuego;0;0;1
92;30/03/2025 14:02;Centro;163;3;18;Accidente;1;0;0
93;17/09/2024 14:07;Oeste;111;4;6;Neutral;0;1;0
94;25/01/2025 15:10;Oeste;92;1;7;Neutral;0;1;0
95;19/11/2024 8:31;Centro;133;9;16;Accidente;1;0;0
96;12/06/2025 16:35;Oeste;143;3;9;Accidente;1;0;0
97;27/10/2024 8:11;Sur;123;4;13;Fuego;0;0;1
98;9/10/2024 5:51;Este;89;1;12;Neutral;0;1;0
99;8/04/2025 1:15;Este;8;4;19;Neutral;0;1;0
100;6/07/2024 13:29;Centro;75;1;1;Fuego;0;0;1
101;30/05/2025 17:01;Norte;158;5;8;Fuego;0;0;1
102;26/04/2025 16:57;Centro;115;5;4;Neutral;0;1;0
103;17/02/2025 20:59;Norte;54;7;19;Neutral;0;1;0
104;18/07/2024 4:35;Este;144;8;5;Accidente;1;0;0
105;6/05/2025 8:30;Centro;99;4;17;Accidente;1;0;0
106;30/08/2024 12:21;Sur;96;7;3;Neutral;0;1;0
107;8/11/2024 3:56;Oeste;69;4;19;Neutral;0;1;0
108;12/02/2025 16:22;Norte;51;3;1;Accidente;1;0;0
109;13/09/2024 13:54;Oeste;110;6;1;Fuego;0;0;1
110;14/02/2025 11:54;Oeste;134;4;9;Fuego;0;0;1
111;24/11/2024 10:44;Centro;110;3;5;Neutral;0;1;0
112;21/12/2024 15:25;Oeste;28;9;7;Neutral;0;1;0
113;8/05/2025 20:25;Sur;8;5;6;Accidente;1;0;0
114;26/10/2024 11:31;Oeste;112;7;17;Neutral;0;1;0
115;29/10/2024 1:27;Centro;23;6;17;Fuego;0;0;1
116;17/01/2025 20:45;Sur;158;5;13;Accidente;1;0;0
117;27/02/2025 11:30;Este;44;7;12;Accidente;1;0;0
118;2/06/2025 5:52;Oeste;54;6;4;Fuego;0;0;1
119;11/07/2024 18:43;Centro;175;2;8;Fuego;0;0;1
120;28/10/2024 4:34;Este;79;3;5;Accidente;1;0;0
121;7/07/2024 11:31;Este;16;2;5;Neutral;0;1;0
122;22/03/2025 6:45;Norte;31;3;13;Fuego;0;0;1
123;11/08/2024 13:13;Sur;117;1;11;Accidente;1;0;0
124;21/09/2024 16:06;Oeste;53;8;8;Neutral;0;1;0
125;29/07/2024 22:12;Centro;148;6;8;Neutral;0;1;0
126;11/01/2025 2:22;Norte;134;2;1;Accidente;1;0;0
127;23/06/2024 9:21;Sur;64;8;13;Fuego;0;0;1
128;9/05/2025 21:54;Norte;34;6;5;Neutral;0;1;0
129;1/07/2024 6:54;Sur;88;7;8;Fuego;0;0;1
130;10/06/2025 11:31;Sur;170;1;17;Accidente;1;0;0
131;28/07/2024 10:33;Oeste;32;7;13;Fuego;0;0;1
132;28/09/2024 16:32;Sur;29;3;9;Neutral;0;1;0
133;4/07/2024 18:44;Norte;100;8;2;Accidente;1;0;0
134;3/05/2025 17:36;Sur;129;6;19;Neutral;0;1;0
135;17/12/2024 14:52;Oeste;14;4;17;Neutral;0;1;0
136;31/01/2025 10:03;Oeste;46;8;7;Accidente;1;0;0
137;19/09/2024 23:24;Norte;44;9;3;Accidente;1;0;0
138;19/09/2024 16:07;Este;81;2;19;Fuego;0;0;1
139;29/07/2024 14:49;Este;109;6;19;Accidente;1;0;0
140;28/07/2024 11:03;Sur;122;5;9;Fuego;0;0;1
141;12/07/2024 6:42;Centro;46;5;10;Accidente;1;0;0
142;11/03/2025 16:55;Sur;51;3;14;Neutral;0;1;0
143;3/11/2024 13:57;Norte;169;8;18;Fuego;0;0;1
144;22/05/2025 16:22;Norte;26;8;15;Accidente;1;0;0
145;24/03/2025 13:27;Norte;111;5;1;Fuego;0;0;1
146;25/05/2025 19:02;Norte;31;8;6;Fuego;0;0;1
147;1/10/2024 14:24;Norte;45;8;15;Fuego;0;0;1
148;29/11/2024 4:30;Oeste;84;3;6;Neutral;0;1;0
149;20/01/2025 3:42;Este;166;2;18;Accidente;1;0;0
150;14/04/2025 4:01;Norte;164;9;1;Accidente;1;0;0
151;15/03/2025 6:18;Centro;93;2;3;Fuego;0;0;1
152;15/08/2024 0:40;Centro;70;9;17;Accidente;1;0;0
